session_id,user_id,persona,email,geo_location,client_type,start_time,end_time,duration_seconds,num_requests,actions_list
0008cfac-be51-4137-8847-445414cc266d,u_1056,power_user,reginaburnett@example.org,Tabuk,ios,2026-03-05 00:02:11.054183+00:00,2026-03-05 00:02:27.107120+00:00,16.05,12,"sign_in, wallet_view, update_profile, payments, transfer, wallet_view, wallet_view, topup, pay_bill, pay_bill, topup, sign_out"
0058c00d-3976-4fbf-b330-90ceccd27c9a,u_1028,casual,anthonylindsay@example.com,Tabuk,ios,2026-03-04 23:55:48.393819+00:00,2026-03-04 23:56:06.067616+00:00,17.67,5,"sign_in, transfer, wallet_view, bank_accounts, sign_out"
00d6b2c9-82c2-4e03-83c6-2bd3c09b2c60,admin_1,admin,admin@rasd.local,Dammam,web,2026-03-04 23:44:53.447346+00:00,2026-03-04 23:45:25.895189+00:00,32.45,22,"admin_sign_in, admin_financial, admin_wallets, admin_financial, admin_users, admin_financial, admin_wallets, admin_financial, admin_users, admin_wallets, admin_wallets, admin_users, admin_users, admin_users, admin_financial, admin_wallets, admin_users, admin_financial, admin_transactions, admin_financial, admin_financial, admin_sign_out"
0116b717-202c-4462-baf2-24bfd58d2a68,u_1048,confused,wolfbryan@example.com,Buraidah,web,2026-03-04 23:55:42.932769+00:00,2026-03-04 23:56:38.772190+00:00,55.84,5,"sign_in, health, view_profile, hello, sign_out"
01e7e667-d52c-4754-8b27-22e8ca2eb6c0,u_1042,casual,brian14@example.net,Buraidah,ios,2026-03-05 00:03:50.202839+00:00,2026-03-05 00:04:14.135359+00:00,23.93,5,"sign_in, hello, hello, hello, sign_out"
02eb711d-9465-4c85-a2b5-2a2ad25f2c22,u_1046,power_user,kbutler@example.net,Mecca,web,2026-03-04 23:49:45.172217+00:00,2026-03-04 23:50:11.402867+00:00,26.23,17,"sign_in, withdraw, view_profile, transfer, wallet_view, payments, withdraw, view_profile, transfer, auth_me, transfer, transfer, hello, topup, auth_me, transfer, sign_out"
038f42df-9ac9-4bac-b4b9-8afb97bbbdbd,u_1051,casual,xhenderson@example.net,Taif,web,2026-03-04 23:56:57.317394+00:00,2026-03-04 23:57:21.706851+00:00,24.39,6,"sign_in, withdraw_overdraft, withdraw, wallet_view, wallet_view, sign_out"
04b8e962-e1e6-4cc2-a17b-6a55af8052ac,unknown,transactor,cramsey@example.com,Dammam,android,2026-03-04 23:54:51.874199+00:00,2026-03-04 23:55:11.492500+00:00,19.62,8,"failed_login, sign_in, transfer, transfer, withdraw, health, wallet_view, sign_out"
0531d32d-1cc6-4a30-a084-6f5e29ee5412,u_1069,transactor,craigthomas@example.org,Riyadh,ios,2026-03-05 00:01:07.226579+00:00,2026-03-05 00:01:34.569265+00:00,27.34,10,"sign_in, pay_bill, wallet_view, transfer, transfer, payments, update_profile, wallet_view, topup, sign_out"
05b8c160-3b0c-4717-8657-9789da75b7f1,u_1007,power_user,lauren10@example.net,Taif,web,2026-03-04 23:46:30.524023+00:00,2026-03-04 23:46:46.632062+00:00,16.11,13,"sign_in, topup, withdraw, view_profile, topup, hello, transfer, payments, wallet_view, hello, bank_accounts, wallet_view, sign_out"
072f1ded-209c-4217-8236-8ed9f91c2b36,u_1016,casual,fowlerkelly@example.net,Tabuk,ios,2026-03-04 23:47:41.437237+00:00,2026-03-04 23:48:02.642561+00:00,21.21,5,"sign_in, withdraw, wallet_view, transfer, sign_out"
077a8f4a-7d9b-4e17-8fd4-ca8b92d05751,u_1028,casual,anthonylindsay@example.com,Tabuk,ios,2026-03-04 23:53:33.755024+00:00,2026-03-04 23:53:49.598925+00:00,15.84,4,"sign_in, auth_me, view_profile, sign_out"
08100848-1b53-4639-bdad-e4e37cc41147,u_1048,transactor,wolfbryan@example.com,Buraidah,web,2026-03-04 23:48:05.712379+00:00,2026-03-04 23:48:31.800030+00:00,26.09,11,"sign_in, topup, transfer, transfer, wallet_view, pay_bill, transfer, payments, transfer, topup, sign_out"
08a7571e-f894-4222-b594-9ef6ee538784,u_1073,power_user,qanthony@example.com,Taif,android,2026-03-04 23:58:36.502806+00:00,2026-03-04 23:58:52.089853+00:00,15.59,12,"sign_in, bank_accounts, topup, auth_me, auth_me, withdraw, hello, transfer, topup, payments, wallet_view, sign_out"
094e1871-e06a-451b-8ccd-6db193c8dd8f,u_1049,confused,james84@example.org,Dammam,android,2026-03-04 23:49:13.676054+00:00,2026-03-04 23:49:57.516034+00:00,43.84,4,"sign_in, transfer_to_self, topup, sign_out"
0c332a90-b7ee-4290-8ef0-f038b5413f03,u_1001,casual,taif.alsaadi@gmail.com,Mecca,android,2026-03-04 23:56:54.473538+00:00,2026-03-04 23:57:11.605376+00:00,17.13,4,"sign_in, update_profile, wallet_view, sign_out"
0c9685e2-a4fa-4fe3-90ad-1463c652de5f,u_1028,casual,anthonylindsay@example.com,Tabuk,ios,2026-03-05 00:03:37.429183+00:00,2026-03-05 00:03:45.421660+00:00,7.99,4,"sign_in, view_profile, auth_me, sign_out"
0d3a498b-7a42-4ec7-99ea-180e3f398951,u_1025,casual,brucefreeman@example.org,Medina,web,2026-03-05 00:09:50.995496+00:00,2026-03-05 00:10:15.770363+00:00,24.77,5,"sign_in, auth_me, auth_me, wallet_view, sign_out"
0dbac87a-819f-4e5b-bd62-51e932748ded,u_1011,power_user,ashleyparks@example.org,Riyadh,android,2026-03-04 23:56:30.564036+00:00,2026-03-04 23:56:50.253278+00:00,19.69,15,"sign_in, topup, withdraw, topup, bank_accounts, update_profile, topup, transfer, wallet_view, hello, withdraw, wallet_view, auth_me, bank_accounts, sign_out"
0e9bcfaa-771e-41a5-b37d-1c07b615efe4,u_1020,power_user,denisemiller@example.com,Buraidah,android,2026-03-04 23:57:05.126419+00:00,2026-03-04 23:57:20.505892+00:00,15.38,13,"sign_in, auth_me, pay_bill, wallet_view, payments, health, pay_bill, pay_bill, transfer, withdraw, auth_me, pay_bill, sign_out"
0fa9c016-9261-4d22-bf69-b8c8c632cac0,u_1071,casual,zsmith@example.org,Khobar,android,2026-03-04 23:56:50.508714+00:00,2026-03-04 23:57:42.299051+00:00,51.79,8,"sign_in, pay_bill, wallet_view, payments, health, wallet_view, transfer, sign_out"
0fc8f03f-9d3c-4a48-a19d-5b9e3da9b064,u_1003,transactor,queenrama@gmail.com,Jeddah,ios,2026-03-04 23:52:10.766018+00:00,2026-03-04 23:52:38.077569+00:00,27.31,11,"sign_in, wallet_view, withdraw, topup, withdraw, wallet_view, topup, pay_bill, transfer, auth_me, sign_out"
0ff5b8ab-bf72-45ef-bb56-19900a7140d9,u_1079,casual,michelle79@example.com,Khobar,ios,2026-03-05 00:06:30.650479+00:00,2026-03-05 00:07:20.936144+00:00,50.29,7,"sign_in, payments, wallet_view, wallet_view, auth_me, view_profile, sign_out"
117a1859-5644-4f5a-a2b5-42231f11cf4f,u_1023,casual,zwhite@example.com,Dammam,web,2026-03-04 23:55:10.620558+00:00,2026-03-04 23:55:39.299281+00:00,28.68,6,"sign_in, hello, transfer, bank_accounts, withdraw, sign_out"
1196a41d-6412-48da-9e62-ae8e757b2769,u_1035,casual,cindy19@example.com,Medina,ios,2026-03-04 23:44:54.605858+00:00,2026-03-04 23:45:17.325910+00:00,22.72,6,"sign_in, hello, hello, bank_accounts, auth_me, sign_out"
127d35a4-4d47-4441-9c90-e33a73485d07,u_1017,casual,griffinlisa@example.com,Khobar,web,2026-03-05 00:09:26.067968+00:00,2026-03-05 00:09:46.792105+00:00,20.72,5,"sign_in, withdraw, view_profile, wallet_view, sign_out"
12d021b9-7625-466a-9a21-a2ad09f339bd,u_1041,confused,johnsonjustin@example.com,Dammam,android,2026-03-04 23:56:30.133581+00:00,2026-03-04 23:57:22.431443+00:00,52.3,5,"sign_in, transfer, pay_bill, topup, sign_out"
12f4ac33-4550-4eab-bf52-2555f405573e,u_1012,casual,jsanchez@example.org,Riyadh,web,2026-03-04 23:51:33.250499+00:00,2026-03-04 23:51:45.335226+00:00,12.08,4,"sign_in, view_profile, wallet_view, sign_out"
13217542-de45-4de8-9777-3c17b75c5e51,u_1002,casual,hanan.alharbi@gmail.com,Riyadh,web,2026-03-04 23:47:11.530755+00:00,2026-03-04 23:47:59.990815+00:00,48.46,8,"sign_in, wallet_view, transfer, view_profile, update_profile, payments, auth_me, sign_out"
1344b2c1-3d10-429e-891e-df0090f099f8,u_1070,casual,jasondean@example.net,Mecca,ios,2026-03-05 00:02:35.087225+00:00,2026-03-05 00:03:04.196896+00:00,29.11,6,"sign_in, auth_me, wallet_view, view_profile, auth_me, sign_out"
146cac5e-3c13-4482-8997-9ceb2f25a32f,u_1040,casual,jasmine96@example.com,Jeddah,web,2026-03-04 23:51:02.977476+00:00,2026-03-04 23:51:40.762264+00:00,37.78,6,"sign_in, auth_me, hello, view_profile, transfer, sign_out"
