timestamp,session_id,persona,email,user_id,action,method,path,status_code,is_failed_login,response_time_ms,think_time_ms,body_size,has_auth_token,endpoint_category,response_length,geo_location,client_type,user_agent,source_tool
2026-04-05T12:26:26.895253+00:00,2caff892-eaa0-4a78-b80f-61e221ef604f,transactor,murphymichelle@example.com,unknown,failed_login_suspicious,POST,/auth/sign-in,401,True,1446,0,69,False,auth,39,Taif,web,"Mozilla/5.0 (Linux; Android 1.5) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/42.0.895.0 Safari/532.0",playwright
2026-04-05T12:26:28.747121+00:00,2caff892-eaa0-4a78-b80f-61e221ef604f,transactor,murphymichelle@example.com,unknown,failed_login_suspicious,POST,/auth/sign-in,401,True,1420,0,69,False,auth,39,Taif,web,"Mozilla/5.0 (Linux; Android 1.5) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/42.0.895.0 Safari/532.0",playwright
2026-04-05T12:26:29.421966+00:00,db87c6fc-c1b0-4b54-9c97-1cccdc53e1bc,admin,admin@rasd.local,admin_1,admin_sign_in,POST,/admin/auth/sign-in,200,False,1395,1867,45,False,admin,141,Mecca,ios,Mozilla/5.0 (Windows NT 4.0; ky-KG; rv:1.9.1.20) Gecko/6766-02-15 21:09:34.340973 Firefox/4.0,playwright
2026-04-05T12:26:30.107001+00:00,db87c6fc-c1b0-4b54-9c97-1cccdc53e1bc,admin,admin@rasd.local,admin_1,admin_transactions,GET,/admin/transactions,401,False,38,640,0,True,admin,43,Mecca,ios,Mozilla/5.0 (Windows NT 4.0; ky-KG; rv:1.9.1.20) Gecko/6766-02-15 21:09:34.340973 Firefox/4.0,playwright
2026-04-05T12:26:30.223427+00:00,1025a8d9-5451-4f72-914b-339950ebdb71,transactor,alyssalee@example.net,unknown,failed_login_suspicious,POST,/auth/sign-in,401,True,1445,0,64,False,auth,39,Abha,ios,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/36.0.883.0 Safari/531.2",playwright
2026-04-05T12:26:30.711888+00:00,2caff892-eaa0-4a78-b80f-61e221ef604f,transactor,murphymichelle@example.com,unknown,failed_login_suspicious,POST,/auth/sign-in,401,True,1486,0,69,False,auth,39,Taif,web,"Mozilla/5.0 (Linux; Android 1.5) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/42.0.895.0 Safari/532.0",playwright
2026-04-05T12:26:30.800786+00:00,db87c6fc-c1b0-4b54-9c97-1cccdc53e1bc,admin,admin@rasd.local,admin_1,admin_transactions,GET,/admin/transactions,401,False,23,666,0,True,admin,43,Mecca,ios,Mozilla/5.0 (Windows NT 4.0; ky-KG; rv:1.9.1.20) Gecko/6766-02-15 21:09:34.340973 Firefox/4.0,playwright
2026-04-05T12:26:31.071796+00:00,8ae88ce8-ffce-443a-85bd-1e7dc4dadbc5,casual,user@example.com,u_1004,sign_in,POST,/auth/sign-in,200,False,1408,3843,56,False,auth,171,Jeddah,ios,Opera/9.14.(Windows NT 6.2; ks-IN) Presto/2.9.161 Version/11.00,playwright
2026-04-05T12:26:31.301003+00:00,b99b5402-7736-46f4-984a-11ab5f3a02c7,power_user,kellie49@example.org,unknown,failed_login_suspicious,POST,/auth/sign-in,401,True,1402,0,63,False,auth,39,Khobar,web,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/534.18.6 (KHTML, like Gecko) Version/4.1 Safari/534.18.6",playwright
2026-04-05T12:26:31.532897+00:00,db87c6fc-c1b0-4b54-9c97-1cccdc53e1bc,admin,admin@rasd.local,admin_1,admin_wallets,GET,/admin/wallets,401,False,65,663,0,True,admin,43,Mecca,ios,Mozilla/5.0 (Windows NT 4.0; ky-KG; rv:1.9.1.20) Gecko/6766-02-15 21:09:34.340973 Firefox/4.0,playwright
2026-04-05T12:26:31.803324+00:00,1025a8d9-5451-4f72-914b-339950ebdb71,transactor,alyssalee@example.net,unknown,failed_login_suspicious,POST,/auth/sign-in,401,True,1459,0,64,False,auth,39,Abha,ios,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/36.0.883.0 Safari/531.2",playwright
2026-04-05T12:26:32.057720+00:00,330ee3da-eaad-4a99-b3b2-bac9362be227,transactor,brennanlaurie@example.org,u_1227,sign_in,POST,/auth/sign-in,200,False,1488,4158,67,False,auth,180,Taif,android,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_8 rv:2.0; zu-ZA) AppleWebKit/532.39.3 (KHTML, like Gecko) Version/5.1 Safari/532.39.3",playwright
2026-04-05T12:26:33.159569+00:00,b99b5402-7736-46f4-984a-11ab5f3a02c7,power_user,kellie49@example.org,unknown,failed_login_suspicious,POST,/auth/sign-in,401,True,1551,0,63,False,auth,39,Khobar,web,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/534.18.6 (KHTML, like Gecko) Version/4.1 Safari/534.18.6",playwright
2026-04-05T12:26:33.340461+00:00,a7f8cd29-3ed2-41f8-98e4-629647fcb311,casual,smithelizabeth@example.net,u_1205,sign_in,POST,/auth/sign-in,200,False,1502,4674,64,False,auth,182,Mecca,ios,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_9 rv:2.0; ve-ZA) AppleWebKit/533.31.1 (KHTML, like Gecko) Version/5.1 Safari/533.31.1",playwright
2026-04-05T12:26:33.438633+00:00,859b5199-3efd-4e15-ad9e-186ace814042,casual,shelly03@example.net,u_1245,sign_in,POST,/auth/sign-in,200,False,1477,6261,62,False,auth,178,Riyadh,web,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/14.9v4411.0 Mobile/98M886 Safari/535.0",playwright
2026-04-05T12:26:33.485332+00:00,db87c6fc-c1b0-4b54-9c97-1cccdc53e1bc,admin,admin@rasd.local,admin_1,admin_financial,GET,/admin/overview/financial,200,False,1329,616,0,True,admin,319,Mecca,ios,Mozilla/5.0 (Windows NT 4.0; ky-KG; rv:1.9.1.20) Gecko/6766-02-15 21:09:34.340973 Firefox/4.0,playwright
2026-04-05T12:26:33.626591+00:00,fe3afaf4-a404-49d2-89f3-8b8d52ed0f67,power_user,jacqueline38@example.net,u_1232,sign_in,POST,/auth/sign-in,200,False,1420,2438,61,False,auth,180,Mecca,web,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 11.0; Trident/3.1),playwright
2026-04-05T12:26:33.847672+00:00,3574154e-c832-4787-99b4-d30ffd54e7b7,casual,heather12@example.net,u_1258,sign_in,POST,/auth/sign-in,200,False,1439,4804,58,False,auth,178,Medina,web,Mozilla/5.0 (Windows CE; ml-IN; rv:1.9.2.20) Gecko/7360-11-17 00:54:26.903015 Firefox/11.0,playwright
2026-04-05T12:26:34.068428+00:00,2caff892-eaa0-4a78-b80f-61e221ef604f,transactor,murphymichelle@example.com,unknown,failed_login_suspicious,POST,/auth/sign-in,401,True,2914,0,69,False,auth,101,Taif,web,"Mozilla/5.0 (Linux; Android 1.5) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/42.0.895.0 Safari/532.0",playwright
2026-04-05T12:26:34.992694+00:00,1025a8d9-5451-4f72-914b-339950ebdb71,transactor,alyssalee@example.net,unknown,failed_login_suspicious,POST,/auth/sign-in,401,True,2954,0,64,False,auth,101,Abha,ios,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/36.0.883.0 Safari/531.2",playwright
2026-04-05T12:26:35.259455+00:00,fe3afaf4-a404-49d2-89f3-8b8d52ed0f67,power_user,jacqueline38@example.net,u_1232,payments,GET,/users/u_1232/payments,200,False,19,1610,0,True,account,2,Mecca,web,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 11.0; Trident/3.1),playwright
2026-04-05T12:26:36.034632+00:00,4f9080b2-9d0f-42ba-a1b6-cbabffc45aa0,power_user,xwhite@example.com,u_1200,sign_in_fraud,POST,/auth/sign-in,200,False,2997,0,58,False,auth,240,Tabuk,ios,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/3.0),playwright
