session_id,user_id,persona,email,geo_location,client_type,start_time,end_time,duration_seconds,num_requests,actions_list
00098289-c0d4-4519-9cd1-b2efed7d163d,u_1063,transactor,nlewis@example.org,Khobar,android,2026-03-27 12:48:58.728805+00:00,2026-03-27 12:49:17.579070+00:00,18.85,8,"sign_in, pay_bill, pay_bill, update_profile, update_profile, health, transfer, sign_out"
000d2dd9-ac74-455b-9d95-adcff941d8d8,u_1060,casual,elizabeth92@example.net,Jeddah,ios,2026-03-27 12:47:21.565439+00:00,2026-03-27 12:48:00.863699+00:00,39.3,8,"sign_in, auth_me, hello, view_profile, auth_me, transfer, pay_bill, sign_out"
00227ba6-ff80-4570-afd3-a4ca2e63c564,u_1075,transactor,melanie67@example.org,Mecca,web,2026-03-27 13:27:28.842512+00:00,2026-03-27 13:27:46.942575+00:00,18.1,8,"sign_in, topup, hello, topup, wallet_view, transfer, wallet_view, sign_out"
00237848-67ac-4680-bf60-c714c2ff0ac0,u_1026,confused,timothywhite@example.net,Abha,web,2026-03-27 13:36:55.156942+00:00,2026-03-27 13:37:12.676814+00:00,17.52,4,"sign_in, view_profile, auth_me, sign_out"
002710a5-f820-48f4-9bda-e862aae09da0,u_1065,transactor,gregorydiaz@example.com,Tabuk,web,2026-03-27 12:58:32.659468+00:00,2026-03-27 12:58:59.967522+00:00,27.31,10,"sign_in, topup, view_profile, wallet_view, withdraw, transfer, pay_bill, view_profile, topup, sign_out"
00509759-7ffd-4d0f-b45c-cf127e0775b5,u_1010,confused,lindalandry@example.net,Medina,android,2026-03-27 13:21:41.985740+00:00,2026-03-27 13:22:09.696424+00:00,27.71,4,"sign_in, auth_me, auth_me, sign_out"
0067cd08-ae94-472d-97c3-4008ca3020a4,u_1044,confused,schmidtdavid@example.com,Riyadh,android,2026-03-27 13:32:18.060089+00:00,2026-03-27 13:33:19.102446+00:00,61.04,5,"sign_in, auth_me, auth_me, topup, sign_out"
006e12a6-69a0-4efe-a3a5-313c4e6a5b73,u_1016,casual,tammy32@example.com,Riyadh,web,2026-03-27 13:06:09.345722+00:00,2026-03-27 13:06:28.565875+00:00,19.22,5,"sign_in, view_profile, auth_me, wallet_view, sign_out"
0078b7bc-1501-48b1-a2c0-aa6b2efad9c9,u_1066,casual,evelyn46@example.com,Buraidah,ios,2026-03-27 13:31:17.655021+00:00,2026-03-27 13:32:02.768455+00:00,45.11,7,"sign_in, auth_me, view_profile, wallet_view, view_profile, transfer, sign_out"
007d09b1-efec-468d-96a9-c1483bbab744,u_1072,power_user,robertaorr@example.net,Buraidah,web,2026-03-27 13:22:17.678347+00:00,2026-03-27 13:22:29.780596+00:00,12.1,10,"sign_in, bank_accounts, wallet_view, wallet_view, wallet_view, view_profile, auth_me, pay_bill, topup, sign_out"
