timestamp,session_id,persona,email,user_id,action,method,path,status_code,is_failed_login,response_time_ms,think_time_ms,body_size,has_auth_token,endpoint_category,response_length,geo_location
2026-02-28T22:04:23.554106,289,admin,admin,admin,admin_sign_in,POST,/admin/auth/sign-in,200,False,12,1329,45,False,admin,127,Riyadh
2026-02-28T22:04:24.613991,162,power_user,martinezbrandon@example.net,u_1184,sign_in,POST,/auth/sign-in,200,False,10,758,67,False,auth,168,Khobar
2026-02-28T22:04:24.857546,64,power_user,user@example.com,u_1004,sign_in,POST,/auth/sign-in,200,False,11,966,56,False,auth,156,Jeddah
2026-02-28T22:04:25.210594,289,admin,admin,admin,admin_view_financial,GET,/admin/overview/financial,200,False,10,1643,0,True,admin,416,Riyadh
2026-02-28T22:04:26.370129,64,power_user,user@example.com,u_1004,view_balance,GET,/users/u_1004/wallet,200,False,6,1504,0,True,wallet,56,Jeddah
2026-02-28T22:04:26.871572,113,casual,pattersonwilliam@example.net,u_1161,sign_in,POST,/auth/sign-in,200,False,11,4251,67,False,auth,171,Buraidah
2026-02-28T22:04:26.967856,162,power_user,martinezbrandon@example.net,u_1184,view_payments,GET,/users/u_1184/payments,404,False,4,2347,0,True,account,22,Khobar
2026-02-28T22:04:27.099824,228,transactor,samuelpeck@example.net,u_1132,sign_in,POST,/auth/sign-in,200,False,9,4418,59,False,auth,169,Riyadh
2026-02-28T22:04:27.761335,64,power_user,user@example.com,u_1004,transfer,POST,/users/u_1004/wallet/transfer/u_1002,200,False,13,1375,16,True,wallet,73,Jeddah
2026-02-28T22:04:27.819171,288,admin,admin,admin,admin_sign_in,POST,/admin/auth/sign-in,200,False,9,4076,45,False,admin,127,Riyadh
2026-02-28T22:04:27.843860,289,admin,admin,admin,admin_view_transactions,GET,/admin/transactions,200,False,15,2615,0,True,admin,6284,Riyadh
2026-02-28T22:04:28.782399,64,power_user,user@example.com,u_1004,view_bank_accounts,GET,/users/u_1004/bank-accounts,404,False,6,1011,0,True,account,22,Jeddah
2026-02-28T22:04:28.801658,162,power_user,martinezbrandon@example.net,u_1184,view_profile,GET,/users/u_1184,404,False,4,1828,0,True,account,22,Khobar
2026-02-28T22:04:28.861174,201,power_user,user@example.com,u_1004,sign_in,POST,/auth/sign-in,200,False,19,1630,56,False,auth,156,Jeddah
2026-02-28T22:04:28.873154,139,power_user,taif.alsaadi@gmail.com,u_1001,sign_in,POST,/auth/sign-in,200,False,11,1891,62,False,auth,165,Mecca
2026-02-28T22:04:29.032152,27,power_user,user@example.com,u_1004,sign_in,POST,/auth/sign-in,200,False,10,615,56,False,auth,156,Jeddah
