timestamp,session_id,user_id,email,geo_location,client_type,method,path,status_code,response_time_ms,think_time_ms,label,attack_type
2026-04-24T17:36:16.977710+00:00,3ea86b8e-78f7-490e-a662-814445a8cf1c,u_1136,jeremiahwang@example.org,Tabuk,android,POST,/auth/sign-in,401,97,75,1,credential_attack
2026-04-24T17:36:17.082040+00:00,3ea86b8e-78f7-490e-a662-814445a8cf1c,u_1136,jeremiahwang@example.org,Tabuk,android,POST,/auth/sign-in,401,70,32,1,credential_attack
2026-04-24T17:36:17.259950+00:00,3ea86b8e-78f7-490e-a662-814445a8cf1c,u_1136,jeremiahwang@example.org,Tabuk,android,POST,/auth/sign-in,401,87,88,1,credential_attack
2026-04-24T17:36:17.489192+00:00,3ea86b8e-78f7-490e-a662-814445a8cf1c,u_1136,jeremiahwang@example.org,Tabuk,android,POST,/auth/sign-in,401,149,78,1,credential_attack
2026-04-24T17:36:17.519909+00:00,21134402-1154-40bb-ba76-dc2dc806cbbb,u_1117,chill@example.com,Dammam,ios,POST,/auth/sign-in,500,171,0,0,normal
2026-04-24T17:36:17.566227+00:00,006d6d75-c250-4458-8a54-e3a54838905d,u_1131,flee@example.org,Khobar,android,POST,/auth/sign-in,500,159,0,0,normal
2026-04-24T17:36:17.679755+00:00,3ea86b8e-78f7-490e-a662-814445a8cf1c,u_1136,jeremiahwang@example.org,Tabuk,android,POST,/auth/sign-in,401,151,37,1,credential_attack
2026-04-24T17:36:17.862795+00:00,3ea86b8e-78f7-490e-a662-814445a8cf1c,u_1136,jeremiahwang@example.org,Tabuk,android,POST,/auth/sign-in,401,107,74,1,credential_attack
2026-04-24T17:36:18.083931+00:00,3ea86b8e-78f7-490e-a662-814445a8cf1c,u_1136,jeremiahwang@example.org,Tabuk,android,POST,/auth/sign-in,401,125,93,1,credential_attack
2026-04-24T17:36:18.274053+00:00,3ea86b8e-78f7-490e-a662-814445a8cf1c,u_1136,jeremiahwang@example.org,Tabuk,android,POST,/auth/sign-in,401,108,79,1,credential_attack
2026-04-24T17:36:18.392598+00:00,3ea86b8e-78f7-490e-a662-814445a8cf1c,u_1136,jeremiahwang@example.org,Tabuk,android,POST,/auth/sign-in,401,80,36,1,credential_attack
2026-04-24T17:36:18.548642+00:00,a18738df-d3b1-49db-b34a-5bde056bea12,u_1103,khayden@example.net,Dammam,android,POST,/auth/sign-in,200,98,1315,0,normal
2026-04-24T17:36:18.575977+00:00,3ea86b8e-78f7-490e-a662-814445a8cf1c,u_1136,jeremiahwang@example.org,Tabuk,android,POST,/auth/sign-in,401,90,91,1,credential_attack
2026-04-24T17:36:18.794547+00:00,3ea86b8e-78f7-490e-a662-814445a8cf1c,u_1136,jeremiahwang@example.org,Tabuk,android,POST,/auth/sign-in,401,123,93,1,credential_attack
2026-04-24T17:36:19.190686+00:00,a708e270-0fa1-495e-82e8-a44ae228d31c,u_1098,jessenichols@example.org,Tabuk,web,POST,/auth/sign-in,200,123,1346,0,normal
2026-04-24T17:36:20.183291+00:00,d5b102fc-550d-45dd-8ad7-3993810f0357,u_1132,michelle07@example.com,Buraidah,android,POST,/auth/sign-in,401,123,1313,0,normal
2026-04-24T17:36:22.158910+00:00,9b8c3d13-c147-4d48-9cc6-b63fd8d8f03d,u_1129,james60@example.net,Dammam,ios,POST,/auth/sign-in,200,129,3477,0,normal
2026-04-24T17:36:22.564716+00:00,774fb6e2-5ae5-44b6-a3a1-a15af3362fb9,u_1090,whitejessica@example.org,Buraidah,web,POST,/auth/sign-in,200,235,4998,0,normal
2026-04-24T17:36:24.900162+00:00,a18738df-d3b1-49db-b34a-5bde056bea12,u_1103,khayden@example.net,Dammam,android,GET,/auth/me,200,8,6341,0,normal
2026-04-24T17:36:26.496182+00:00,e2bbc962-b668-46b4-b40e-fdef3268867e,u_1100,nlucas@example.org,Khobar,web,POST,/auth/sign-in,200,125,7498,0,normal
2026-04-24T17:36:28.583943+00:00,9b8c3d13-c147-4d48-9cc6-b63fd8d8f03d,u_1129,james60@example.net,Dammam,ios,GET,/auth/me,200,6,6416,0,normal
2026-04-24T17:36:28.597981+00:00,9b8c3d13-c147-4d48-9cc6-b63fd8d8f03d,u_1129,james60@example.net,Dammam,ios,POST,/auth/sign-out,200,13,0,0,normal
2026-04-24T17:36:32.214326+00:00,774fb6e2-5ae5-44b6-a3a1-a15af3362fb9,u_1090,whitejessica@example.org,Buraidah,web,GET,/users/u_1090/wallet,200,9,9639,0,normal
2026-04-24T17:36:34.849289+00:00,3004a6ac-e718-40d8-b168-a6f6bdb3a4a7,u_1129,james60@example.net,Dammam,ios,POST,/auth/sign-in,200,83,5006,0,normal
2026-04-24T17:36:37.313142+00:00,774fb6e2-5ae5-44b6-a3a1-a15af3362fb9,u_1090,whitejessica@example.org,Buraidah,web,POST,/users/u_1090/wallet/topup,200,20,5076,0,normal
2026-04-24T17:36:39.054176+00:00,774fb6e2-5ae5-44b6-a3a1-a15af3362fb9,u_1090,whitejessica@example.org,Buraidah,web,GET,/users/u_1090/wallet,200,8,1731,0,normal
2026-04-24T17:36:43.685910+00:00,774fb6e2-5ae5-44b6-a3a1-a15af3362fb9,u_1090,whitejessica@example.org,Buraidah,web,POST,/users/u_1090/wallet/withdraw,200,18,4612,0,normal
2026-04-24T17:36:44.129882+00:00,3f06eca5-09fd-4aa5-9cc1-bc3e9d239b75,u_1134,uwilson@example.net,Buraidah,android,POST,/auth/sign-in,200,94,25871,0,normal
2026-04-24T17:36:45.120370+00:00,d5b102fc-550d-45dd-8ad7-3993810f0357,u_1132,michelle07@example.com,Buraidah,android,POST,/auth/sign-in,200,90,24844,0,normal
2026-04-24T17:36:46.369834+00:00,3f06eca5-09fd-4aa5-9cc1-bc3e9d239b75,u_1134,uwilson@example.net,Buraidah,android,GET,/users/u_1134,200,8,2231,0,normal
2026-04-24T17:36:47.941617+00:00,5d6a1647-2acb-4610-9ca1-3d7fced6a976,u_1121,trubio@example.com,Mecca,ios,POST,/auth/sign-in,200,189,30365,0,normal
2026-04-24T17:36:51.097311+00:00,774fb6e2-5ae5-44b6-a3a1-a15af3362fb9,u_1090,whitejessica@example.org,Buraidah,web,POST,/users/u_1090/wallet/transfer/u_1113,200,19,7390,0,normal
2026-04-24T17:36:52.367361+00:00,3f06eca5-09fd-4aa5-9cc1-bc3e9d239b75,u_1134,uwilson@example.net,Buraidah,android,GET,/users/u_1134,200,17,5978,0,normal
2026-04-24T17:36:52.404109+00:00,3f06eca5-09fd-4aa5-9cc1-bc3e9d239b75,u_1134,uwilson@example.net,Buraidah,android,POST,/auth/sign-out,200,36,0,0,normal
2026-04-24T17:36:54.508754+00:00,bf2fe8a6-9d03-49d9-a80b-1588c9ce3c52,u_1103,khayden@example.net,Dammam,android,POST,/auth/sign-in,200,73,34906,0,normal
2026-04-24T17:36:56.990305+00:00,81bea5d4-cc14-46c0-960c-f039203c1e28,u_1087,taylor86@example.org,Mecca,ios,POST,/auth/sign-in,200,94,3451,0,normal
2026-04-24T17:37:06.013957+00:00,bf2fe8a6-9d03-49d9-a80b-1588c9ce3c52,u_1103,khayden@example.net,Dammam,android,GET,/auth/me,200,8,11496,0,normal
2026-04-24T17:37:06.029446+00:00,bf2fe8a6-9d03-49d9-a80b-1588c9ce3c52,u_1103,khayden@example.net,Dammam,android,POST,/auth/sign-out,200,15,0,0,normal
2026-04-24T17:37:07.975476+00:00,f8427a46-dae9-4928-acfd-b368b67ffdfb,u_1119,rallen@example.com,Riyadh,android,POST,/auth/sign-in,200,138,49344,0,normal
2026-04-24T17:37:11.463603+00:00,f46fd80d-bff8-4fbd-8fc9-0d739d7d6c14,u_1128,jsmall@example.net,Mecca,android,POST,/auth/sign-in,200,69,4499,0,normal
2026-04-24T17:37:12.921329+00:00,f46fd80d-bff8-4fbd-8fc9-0d739d7d6c14,u_1128,jsmall@example.net,Mecca,android,GET,/users/u_1128,200,7,1448,0,normal
2026-04-24T17:37:15.604801+00:00,e2bbc962-b668-46b4-b40e-fdef3268867e,u_1100,nlucas@example.org,Khobar,web,GET,/auth/me,200,6,49100,0,normal
2026-04-24T17:37:18.095613+00:00,a708e270-0fa1-495e-82e8-a44ae228d31c,u_1098,jessenichols@example.org,Tabuk,web,POST,/users/u_1098/wallet/withdraw,200,19,58882,0,normal
2026-04-24T17:37:19.434147+00:00,5d6a1647-2acb-4610-9ca1-3d7fced6a976,u_1121,trubio@example.com,Mecca,ios,POST,/users/u_1121/wallet/withdraw,200,23,31466,0,normal
2026-04-24T17:37:22.092805+00:00,a18738df-d3b1-49db-b34a-5bde056bea12,u_1103,khayden@example.net,Dammam,android,GET,/users/u_1103/bank-accounts,200,8,57181,0,normal
2026-04-24T17:37:24.048721+00:00,e2bbc962-b668-46b4-b40e-fdef3268867e,u_1100,nlucas@example.org,Khobar,web,GET,/users/u_1100,200,6,8436,0,normal
2026-04-24T17:37:27.993508+00:00,3004a6ac-e718-40d8-b168-a6f6bdb3a4a7,u_1129,james60@example.net,Dammam,ios,GET,/users/u_1129/wallet,200,6,53134,0,normal
2026-04-24T17:37:28.558073+00:00,a18738df-d3b1-49db-b34a-5bde056bea12,u_1103,khayden@example.net,Dammam,android,GET,/users/u_1103/payments,200,8,6456,0,normal
2026-04-24T17:37:33.588809+00:00,3004a6ac-e718-40d8-b168-a6f6bdb3a4a7,u_1129,james60@example.net,Dammam,ios,GET,/users/u_1129,200,7,5586,0,normal
2026-04-24T17:37:33.603059+00:00,3004a6ac-e718-40d8-b168-a6f6bdb3a4a7,u_1129,james60@example.net,Dammam,ios,POST,/auth/sign-out,200,14,0,0,normal
2026-04-24T17:37:36.869443+00:00,a18738df-d3b1-49db-b34a-5bde056bea12,u_1103,khayden@example.net,Dammam,android,POST,/users/u_1103/wallet/withdraw,200,20,8289,0,normal
2026-04-24T17:37:41.034173+00:00,81bea5d4-cc14-46c0-960c-f039203c1e28,u_1087,taylor86@example.org,Mecca,ios,GET,/users/u_1087/wallet,200,7,44034,0,normal
2026-04-24T17:37:41.299619+00:00,d5b102fc-550d-45dd-8ad7-3993810f0357,u_1132,michelle07@example.com,Buraidah,android,POST,/users/u_1132/wallet/transfer/u_1100,200,21,56154,0,normal
2026-04-24T17:37:43.527676+00:00,774fb6e2-5ae5-44b6-a3a1-a15af3362fb9,u_1090,whitejessica@example.org,Buraidah,web,POST,/users/u_1090/wallet/pay-bill,200,30,52396,0,normal
2026-04-24T17:37:48.230174+00:00,5d6a1647-2acb-4610-9ca1-3d7fced6a976,u_1121,trubio@example.com,Mecca,ios,POST,/users/u_1121/wallet/topup,200,23,28770,0,normal
2026-04-24T17:37:49.388150+00:00,774fb6e2-5ae5-44b6-a3a1-a15af3362fb9,u_1090,whitejessica@example.org,Buraidah,web,GET,/users/u_1090/wallet,200,7,5852,0,normal
2026-04-24T17:37:51.576011+00:00,d5b102fc-550d-45dd-8ad7-3993810f0357,u_1132,michelle07@example.com,Buraidah,android,GET,/auth/me,200,12,10263,0,normal
2026-04-24T17:37:52.153382+00:00,e2bbc962-b668-46b4-b40e-fdef3268867e,u_1100,nlucas@example.org,Khobar,web,GET,/users/u_1100/wallet,200,8,28094,0,normal
2026-04-24T17:37:52.749918+00:00,d5b102fc-550d-45dd-8ad7-3993810f0357,u_1132,michelle07@example.com,Buraidah,android,GET,/users/u_1132/wallet,200,13,1159,0,normal
2026-04-24T17:37:53.527307+00:00,774fb6e2-5ae5-44b6-a3a1-a15af3362fb9,u_1090,whitejessica@example.org,Buraidah,web,GET,/users/u_1090/payments,200,8,4129,0,normal
2026-04-24T17:37:54.706293+00:00,608e8e6a-d6fa-4199-a311-22533d626885,u_1123,armstrongjason@example.net,London,ios,POST,/auth/sign-in,200,99,19978,0,normal
