session_id,user_id,email,geo_location,client_type,total_requests,session_duration_sec,requests_per_minute,requests_per_second,error_ratio,error_count,http_4xx_ratio,http_5xx_ratio,failed_login_count,login_attempts,failed_login_ratio,unique_endpoints,endpoint_entropy,admin_action_count,admin_ratio,has_admin_access,wallet_action_ratio,transfer_count,topup_count,withdraw_count,pay_bill_count,financial_error_count,avg_think_time_ms,std_think_time_ms,min_think_time_ms,max_think_time_ms,think_time_cv,avg_response_time_ms
01d85660-8099-4883-8f02-6cd8ad5b4559,u_1247,millerchristina@example.org,Buraidah,ios,1,1.0,60.0,1.0,1.0,1,0.0,1.0,1,1,1.0,1,-0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,117.0
0b93a5d2-669d-47ef-bf5b-dec6e6339b8c,u_1240,sabrinacolon@example.org,Jeddah,ios,17,222.6347,4.5815,0.0764,0.0,0,0.0,0.0,0,1,0.0,10,3.0286,0,0.0,0.0,0.5882,1,0,1,4,0,14228.25,14153.2422,2329.0,53892.0,0.9947,29.3529
0f4b9659-a71d-4a1a-b6c3-fee49726fa91,u_1234,wilsonashley@example.net,Taif,android,5,74.0016,4.054,0.0676,0.0,0,0.0,0.0,0,1,0.0,4,1.9219,0,0.0,0.0,0.6,0,0,1,2,0,25994.0,12875.6389,7570.0,43238.0,0.4953,56.8
1681a59f-2d26-4cbb-907a-88a301306eb5,u_1233,scottrebecca@example.net,Taif,android,8,146.5087,3.2763,0.0546,0.125,1,0.0,0.125,0,1,0.0,7,2.75,0,0.0,0.0,0.375,1,1,1,0,1,25070.2857,15170.6456,1226.0,48480.0,0.6051,37.0
17671501-c4f7-4d3c-96e1-b813450e1477,u_1239,rothkristin@example.com,Buraidah,android,12,168.4604,4.274,0.0712,0.0833,1,0.0833,0.0,1,2,0.5,7,2.6258,0,0.0,0.0,0.6667,3,3,0,1,0,16226.6364,16158.4334,2106.0,58718.0,0.9958,48.9167
17ce6d5d-7b58-44d0-aa36-cfc10095f62c,u_1241,smithtracey@example.org,Taif,web,8,119.4469,4.0185,0.067,0.0,0,0.0,0.0,0,1,0.0,7,2.75,0,0.0,0.0,0.25,0,0,1,0,0,22062.1429,14807.3934,8520.0,50987.0,0.6712,27.25
1a346411-a54f-4d36-823a-615c9489f125,u_1234,wilsonashley@example.net,Taif,android,16,277.9351,3.454,0.0576,0.0,0,0.0,0.0,0,1,0.0,11,3.2806,0,0.0,0.0,0.4375,1,1,1,1,0,19187.0,17708.8805,1502.0,58776.0,0.923,23.375
1b3abbf2-d554-43a2-935d-4e7d54a7c421,u_1241,smithtracey@example.org,Taif,web,7,68.9294,6.0932,0.1016,0.0,0,0.0,0.0,0,1,0.0,6,2.5216,0,0.0,0.0,0.1429,1,0,0,0,0,12610.1667,11666.4788,2474.0,38092.0,0.9252,32.4286
2671572e-4dba-4c67-a063-36f3a6d1c223,u_1237,bcampbell@example.com,Buraidah,ios,8,141.1652,3.4003,0.0567,0.0,0,0.0,0.0,0,1,0.0,5,2.1556,0,0.0,0.0,0.25,2,0,0,0,0,21840.7143,20003.9462,8033.0,58889.0,0.9159,30.875
2cdbe3d7-5e4b-442e-be6d-4323ccd38aaf,u_1242,turnerjonathan@example.net,Medina,android,8,115.9023,4.1414,0.069,0.0,0,0.0,0.0,0,1,0.0,5,2.1556,0,0.0,0.0,0.75,3,1,0,2,0,21522.5714,20543.986,1115.0,56831.0,0.9545,50.25
