session_id,user_id,email,persona,geo_location,client_type,total_requests,session_duration_sec,requests_per_minute,failed_login_count,login_attempts,failed_login_ratio,login_success,error_ratio,error_4xx_count,error_5xx_count,http_4xx_ratio,http_5xx_ratio,unique_endpoints,endpoint_entropy,has_admin_access,admin_action_count,admin_ratio,wallet_action_count,wallet_action_ratio,transfer_count,topup_count,withdraw_count,pay_bill_count,financial_error_count,avg_think_time_ms,std_think_time_ms,min_think_time_ms,max_think_time_ms,think_time_cv,avg_response_time_ms,label,session_type
263660e5-be7d-4cb5-8768-68f71dd104eb,unknown,kenneth06@example.org,casual,Medina,web,1,1.0,60.0,0,1,0.0,0,1.0,0,1,0.0,1.0,1,-0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2545.8197,0,normal
1121ebca-83ca-43da-9278-64466ded1c2e,u_1554,xbarajas@example.com,confused,Dammam,web,4,46.9201,5.1151,0,1,0.0,1,0.25,0,1,0.0,0.25,4,1.7977,0,0,0.0,0,0.0,0,0,0,0,0,23560.9411,991.4345,19679.3621,23560.9411,0.0421,1343.7553,0,normal
533ed931-8f2f-4024-96d3-bcadc504c512,unknown,gary29@example.net,casual,Tabuk,web,1,1.0,60.0,0,1,0.0,0,1.0,0,1,0.0,1.0,1,-0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2290.7583,0,normal
f75c9b6f-f27b-4f4f-96eb-7f15e6816b76,unknown,thomasthomas@example.com,transactor,Tabuk,ios,1,1.0,60.0,0,1,0.0,0,1.0,0,1,0.0,1.0,1,-0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14878.1005,0,normal
e6202b77-4ccc-42dd-9c3c-248f2c6830da,u_1875,brittany57@example.org,transactor,Jeddah,ios,9,24.7646,21.8053,0,1,0.0,1,0.5556,0,5,0.0,0.5556,8,2.8822,0,0,0.0,6,0.6667,2,2,1,1,0,2985.8595,1369.4826,1008.1604,4339.8675,0.4587,826.7653,0,normal
77a83105-faca-4abe-a4cb-6aea86e54eff,unknown,robertcarlson@example.net,power_user,Riyadh,android,1,1.0,60.0,0,1,0.0,0,1.0,0,1,0.0,1.0,1,-0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,971.6267,0,normal
8fb9f776-9bb9-4df9-a338-a2f9537fe292,unknown,raymondschultz@example.org,casual,Tabuk,web,1,1.0,60.0,0,1,0.0,0,1.0,0,1,0.0,1.0,1,-0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1687.742,0,normal
576e1520-c9d4-47ab-bb9d-112306d3ae73,unknown,randallwalsh@example.org,transactor,Abha,ios,1,1.0,60.0,0,1,0.0,0,1.0,0,1,0.0,1.0,1,-0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2643.8702,0,normal
679c8562-94b7-4869-858c-12673eea809f,u_1670,jennifer14@example.net,transactor,Riyadh,web,12,18.8031,38.2916,1,2,0.5,1,0.1667,0,2,0.0,0.1667,2,0.8626,1,1,0.0833,4,0.3333,0,0,1,1,2,2134.0489,288.9395,153.5874,5776.2866,0.1354,2270.5342,0,messy_normal
7dd959ad-bc54-4a1e-b350-0dd6d9201f15,admin_1,admin,admin,Khobar,ios,7,12.1274,34.6323,0,0,0.0,0,0.1429,0,1,0.0,0.1429,5,2.1889,1,7,1.0,0,0.0,0,0,0,0,0,1029.5074,322.6531,637.6376,1472.3587,0.3134,1243.5995,0,normal
