session_id,user_id,email,persona,geo_location,client_type,total_requests,session_duration_sec,requests_per_minute,failed_login_count,login_attempts,failed_login_ratio,login_success,error_ratio,error_4xx_count,error_5xx_count,http_4xx_ratio,http_5xx_ratio,unique_endpoints,endpoint_entropy,has_admin_access,admin_action_count,admin_ratio,wallet_action_count,wallet_action_ratio,transfer_count,topup_count,withdraw_count,pay_bill_count,financial_error_count,avg_think_time_ms,std_think_time_ms,min_think_time_ms,max_think_time_ms,think_time_cv,avg_response_time_ms,label,session_type
263660e5-be7d-4cb5-8768-68f71dd104eb,unknown,kenneth06@example.org,casual,Medina,web,1,0.0,0.0,0,1,0.0,0,1.0,0,1,0.0,1.0,1,-0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,2589.0,0,normal
1121ebca-83ca-43da-9278-64466ded1c2e,u_1554,xbarajas@example.com,confused,Dammam,web,4,44.82,5.35,0,1,0.0,1,0.25,0,1,0.0,0.25,4,2.0,0,0,0.0,0,0.0,0,0,0,0,0,20686.33,1121.1,19829,22270,0.0542,1269.0,0,normal
533ed931-8f2f-4024-96d3-bcadc504c512,unknown,gary29@example.net,casual,Tabuk,web,1,0.0,0.0,0,1,0.0,0,1.0,0,1,0.0,1.0,1,-0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,2253.0,0,normal
f75c9b6f-f27b-4f4f-96eb-7f15e6816b76,unknown,thomasthomas@example.com,transactor,Tabuk,ios,1,0.0,0.0,0,1,0.0,0,1.0,0,1,0.0,1.0,1,-0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,15049.0,0,normal
e6202b77-4ccc-42dd-9c3c-248f2c6830da,u_1875,brittany57@example.org,transactor,Jeddah,ios,9,24.19,22.32,0,1,0.0,1,0.5556,0,5,0.0,0.5556,8,2.9477,0,0,0.0,6,0.6667,2,2,1,1,0,2799.5,1232.8,1023,4609,0.4404,802.78,0,normal
77a83105-faca-4abe-a4cb-6aea86e54eff,unknown,robertcarlson@example.net,power_user,Riyadh,android,1,0.0,0.0,0,1,0.0,0,1.0,0,1,0.0,1.0,1,-0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,935.0,0,normal
8fb9f776-9bb9-4df9-a338-a2f9537fe292,unknown,raymondschultz@example.org,casual,Tabuk,web,1,0.0,0.0,0,1,0.0,0,1.0,0,1,0.0,1.0,1,-0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,1851.0,0,normal
576e1520-c9d4-47ab-bb9d-112306d3ae73,unknown,randallwalsh@example.org,transactor,Abha,ios,1,0.0,0.0,0,1,0.0,0,1.0,0,1,0.0,1.0,1,-0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,2614.0,0,normal
679c8562-94b7-4869-858c-12673eea809f,u_1670,jennifer14@example.net,transactor,Riyadh,web,7,19.51,21.53,0,1,0.0,1,0.1429,0,1,0.0,0.1429,5,2.2359,0,0,0.0,4,0.5714,0,0,2,2,0,2686.83,1337.72,1225,4336,0.4979,707.43,0,normal
7dd959ad-bc54-4a1e-b350-0dd6d9201f15,admin_1,admin,admin,Khobar,ios,7,12.16,34.53,0,0,0.0,0,0.1429,0,1,0.0,0.1429,5,2.1281,1,7,1.0,0,0.0,0,0,0,0,0,1149.0,289.27,630,1469,0.2518,1103.14,0,normal
